Tabel 1;;;;;
Gemiddeld persoonlijk inkomen per inwoner particulier huishouden, het percentage particuliere huishoudens behorende tot de 40% huishoudens met het laagste besteedbaar;;;;;
inkomen van de landelijke inkomensverdeling en het percentage particuliere huishoudens behorende tot de 20% huishoudens met het hoogste besteedbaar inkomen van de ;;;;;
landelijke inkomensverdeling naar gemeente en wijk, 2020;;;;;
;;;Gemiddeld;40% huishoudens;20% huishoudens
;;;persoonlijk ;met laagste;met hoogste
;;;inkomen;besteedbaar;besteedbaar
;;;per inwoner;inkomen;inkomen
Gemeentelijke indeling van 2023;;;;;
Gemeentecode;Wijkcode;Regionaam;;;
;;;;;
;;;x 1000 euro;%;
;;;;;
;WK045307;Wijk 07 Santpoort-Zuid;39,8;29,0;40,8
;WK045308;Wijk 08 Velserbroek;30,0;23,5;32,5
;WK045309;Wijk 09 Spaarndammerpolder;29,9;31,4;27,3
GM0473;Totaal;Zandvoort;30,0;43,4;19,6
;WK047301;Zandvoort Noord;25,1;47,6;14,0
;WK047302;Zandvoort Zuid;32,5;41,2;22,4
;WK047303;Bentveld;47,2;29,4;40,1
;WK047304;Buitengebied;.;.;.
GM0479;Totaal;Zaanstad;26,3;39,8;18,6
;WK047911;Wijk 11 Zaandam Zuid;23,3;47,6;12,3
;WK047912;Wijk 12 Poelenburg;18,8;54,4;10,8
;WK047913;Wijk 13 Pelders- en Hoornseveld;21,7;50,4;12,6
;WK047914;Wijk 14 Rosmolenwijk;24,9;51,2;10,5
;WK047915;Wijk 15 Kogerveldwijk;22,6;47,4;8,6
;WK047916;Wijk 16 Zaandam Noord;27,8;36,7;18,3
;WK047921;Wijk 21 Oude Haven;29,8;41,4;19,7
;WK047922;Wijk 22 Zaandam West;28,5;41,1;18,4
;WK047923;Wijk 23 Nieuw West;29,9;29,3;26,6
;WK047931;Wijk 31 Oud Koog a/d Zaan;25,7;43,1;15,3
;WK047932;Wijk 32 Westerkoog;29,5;27,9;23,7
;WK047941;Wijk 41 Oud Zaandijk;27,2;47,8;15,9
;WK047942;Wijk 42 Rooswijk;27,3;35,4;24,1
;WK047951;Wijk 51 Wormerveer;25,2;46,5;10,9
;WK047961;Wijk 61 Krommenie Oost;25,5;47,4;13,4
;WK047962;Wijk 62 Krommenie West;27,7;33,2;23,5
;WK047971;Wijk 71 Assendelft-Zuid;28,8;31,0;24,8
;WK047972;Wijk 72 Assendelft-Noord;28,5;18,9;35,0
;WK047981;Wijk 81 Westzaan;31,8;27,6;30,7
GM0482;Totaal;Alblasserdam;25,7;35,9;21,5
;WK048201;Wijk 01 Centrum;26,9;34,7;22,3
;WK048202;Wijk 02 Kinderdijk;25,9;36,4;22,0
;WK048203;Wijk 03 Blokweer;25,1;33,7;20,4
;WK048204;Wijk 04 Souburgh;25,0;42,2;21,2
;WK048205;Wijk 05 Bedrijventerrein;.;.;.
;WK048206;Wijk 06 Landelijk gebied;30,4;.;.
GM0484;Totaal;Alphen aan den Rijn;29,0;32,4;23,5
;WK048401;Oudshoorn;28,9;30,0;22,5
;WK048402;Ridderveld;26,0;39,5;14,8
;WK048403;Zegersloot;26,7;32,7;18,2
;WK048404;Hoorn;26,1;50,8;10,2
;WK048405;Hoge Zijde;29,1;37,9;18,6
;WK048406;Lage Zijde;30,7;30,0;21,7
;WK048407;Steekterpolder;29,9;28,8;32,2
;WK048408;Kerk en Zanen;33,1;21,8;37,1
;WK048409;Rietveld;.;.;.
;WK048431;Benthuizen;27,8;25,3;29,9
;WK048445;Aarlanderveen;31,1;29,8;34,5
;WK048470;Boskoop;28,6;33,9;24,6
;WK048471;Zwammerdam;30,4;33,3;26,0
;WK048491;Hazerswoude-Dorp;29,8;27,6;30,4
;WK048494;Hazerswoude-Rijndijk;28,0;30,9;23,0
;WK048496;Koudekerk aan den Rijn;29,0;29,8;26,7
GM0489;Totaal;Barendrecht;31,1;25,4;33,1
;WK048901;Wijk 01 Centrum;26,8;43,5;21,8
;WK048902;Wijk 02 Noord;23,8;47,2;14,7
;WK048903;Wijk 03 Binnenland;27,8;41,1;19,1
;WK048904;Wijk 04 Oranjewijk;35,7;14,8;47,0
;WK048905;Wijk 05 Buitenoord;30,2;27,8;26,7
;WK048906;Wijk 06 Ter Leede;35,8;13,3;48,4
;WK048907;Wijk 07 Paddewei;25,3;33,1;22,0
;WK048908;Wijk 08 Molenvliet;30,3;25,8;28,7
;WK048909;Wijk 09 Nieuweland;33,0;21,6;37,7
;WK048910;Wijk 10 Dorpzicht;33,3;6,9;43,1
;WK048911;Wijk 11 Bijdorp;33,4;19,8;42,0
;WK048912;Wijk 12 Smitshoek;30,8;25,0;36,1
;WK048913;Wijk 13 Voordijk;44,7;9,9;66,4
;WK048914;Wijk 14 Meerwede;30,9;25,9;29,0
;WK048915;Wijk 15 Waterkant;32,2;30,4;31,7
;WK048916;Wijk 16 Havenkwartier;35,4;19,9;39,3
;WK048917;Wijk 17 Gaatkensoog;36,7;12,9;43,9
;WK048918;Wijk 18 Riederhoek;31,2;18,9;38,9
;WK048919;Wijk 19 Vrijheidsakker;33,1;9,6;43,7
;WK048920;Wijk 20 Vrijenburg;28,6;21,7;35,9
;WK048930;Wijk 30 Buitengebied Noord;28,0;.;.
;WK048931;Wijk 31 Buitengebied Zuid;32,4;21,5;38,8
;WK048950;Wijk 50 Bedrijventerreinen;.;.;.
GM0498;Totaal;Drechterland;27,4;30,2;25,6
;WK049800;Hoogkarspel;26,5;32,8;23,6
;WK049801;Westwoud;27,0;26,5;25,4
;WK049802;Oosterblokker;30,5;25,4;32,7
;WK049803;Venhuizen;26,2;30,6;24,4
;WK049804;Wijdenes;30,4;27,4;30,1
;WK049805;Schellinkhout;31,8;23,0;27,3
;WK049806;Hem;28,1;31,3;28,2
;WK049807;Oosterleek;32,4;.;.
GM0502;Totaal;Capelle aan den IJssel;27,8;40,5;18,7
;WK050201;Capelle West en 's Gravenland;33,0;20,6;37,7
;WK050202;Middelwatering West;26,4;40,0;14,0
;WK050203;Middelwatering Oost;24,1;52,0;10,9
;WK050204;Oostgaarde Zuid;30,4;38,2;22,8
;WK050205;Oostgaarde Noord;22,6;52,3;9,5
;WK050206;Schenkel;28,5;46,3;18,7
;WK050207;Schollevaar Zuid;26,6;40,4;14,0
;WK050208;Schollevaar Noord;28,7;39,1;18,1
;WK050209;Rivium;31,5;28,6;39,0
GM0503;Totaal;Delft;26,5;56,4;14,2
;WK050311;Wijk 11 Binnenstad;31,4;60,2;14,9
;WK050312;Wijk 12 Vrijenban;26,1;58,1;12,9
;WK050313;Wijk 13 Hof van Delft;27,7;56,6;15,3
;WK050314;Wijk 14 Voordijkshoorn;30,6;37,5;28,1
;WK050316;Wijk 16 Delftse Hout;.;.;.
;WK050322;Wijk 22 Tanthof-West;28,9;38,0;20,5
;WK050323;Wijk 23 Tanthof-Oost;27,3;43,7;14,3
;WK050324;Wijk 24 Voorhof;22,1;62,9;6,1
;WK050325;Wijk 25 Buitenhof;21,7;62,8;10,6
;WK050326;Wijk 26 Abtswoude;.;.;.
;WK050327;Wijk 27 Schieweg;35,7;36,2;25,1
;WK050328;Wijk 28 Wippolder;23,3;69,5;10,2
;WK050329;Wijk 29 Ruiven;28,3;50,3;18,7
GM0505;Totaal;Dordrecht;27,0;41,3;17,8
;WK050501;Wijk 01 Binnenstad;34,5;44,1;17,0
;WK050502;Wijk 02 Noordflank;28,2;48,6;18,1
;WK050503;Wijk 03 Oud Krispijn;22,0;43,5;12,4
;WK050504;Wijk 04 Nieuw-krispijn;21,6;56,8;8,3
;WK050505;Wijk 05 Het Reeland;27,5;39,3;18,3
;WK050506;Wijk 06 Staart;23,5;50,5;7,3
;WK050507;Wijk 07 Wielwijk;22,7;55,4;11,7
;WK050508;Wijk 08 Crabbehof/Zuidhoven;21,9;60,2;6,5
;WK050509;Wijk 09 Sterrenburg;26,1;37,9;16,3
;WK050510;Wijk 10 Dubbeldam;32,1;26,2;33,1
;WK050511;Wijk 11 Stadspolders;29,1;27,4;27,1
;WK050519;Wijk 19 Industriegebied West;26,9;28,4;27,0
;WK050598;Wijk 98 Verspreide bebouwing;28,4;30,8;28,1
GM0512;Totaal;Gorinchem;27,6;40,7;20,2
;WK051201;Wijk 01 Gorinchem binnenstad;33,0;47,7;15,2
;WK051202;Wijk 02 Wijdschild;30,5;21,4;27,1
;WK051203;Wijk 03 Lingewijk;24,3;44,6;13,9
;WK051204;Wijk 04 haarwijk;24,0;42,9;17,1
;WK051205;Wijk 05 Stalkaarsen;25,8;41,4;15,1
;WK051206;Wijk 06 Gildenwijk;21,3;65,7;4,6
;WK051207;Wijk 07 Schelluinsestraat;23,7;.;.
;WK051208;Wijk 08 Avelingen Oost;.;.;.
;WK051209;Wijk 09 Avelingen West;.;.;.
;WK051210;Wijk 10 Molenvliet;.;.;.
;WK051211;Wijk 11 laag Dalem;30,4;21,5;36,2
;WK051212;Wijk 12 Dalem;30,0;18,1;35,0
;WK051213;Wijk 13 Hoog Dalem;32,9;7,7;51,6
;WK051214;Wijk 14 Bedrijventerrein Oost;.;.;.
;WK051215;Wijk 15 Papland;.;.;.
;WK051216;Wijk 16 schotdeuren;29,7;.;.
;WK051217;Wijk 17 Bedrijventerrein Noord;.;.;.
;WK051218;Wijk 18 Landelijk gebied West;23,8;.;.
;WK051219;Wijk 19 Landelijk gebied Noord;.;.;.
;WK051220;Wijk 20 Landelijk gebied Oost;.;.;.
;WK051221;Wijk 21 Landelijk gebied Zuid;.;.;.
GM0513;Totaal;Gouda;27,9;38,8;19,9
;WK051301;Binnenstad;33,0;46,3;18,0
;WK051302;De Korte Akkeren;22,9;44,2;10,6
;WK051303;Bloemendaal;30,5;35,9;20,6
;WK051304;Plaswijck;27,6;36,9;20,9
;WK051305;Noord;28,0;39,0;21,5
;WK051306;Kort Haarlem;26,6;42,6;18,7
;WK051307;Goverwelle;27,3;27,5;26,2
;WK051308;Stolwijkersluis;39,7;30,4;34,8
;WK051309;Westergouwe;29,6;35,3;34,0
GM0518;Totaal;'s-Gravenhage;27,8;48,5;17,3
;WK051801;Wijk 01 Oostduinen;.;.;.
;WK051802;Wijk 02 Belgisch Park;36,4;40,7;26,2
;WK051803;Wijk 03 Westbroekpark en Duttendel;53,4;28,1;39,9
;WK051804;Wijk 04 Benoordenhout;48,9;22,0;41,5
;WK051805;Wijk 05 Archipelbuurt;52,7;36,8;31,8
;WK051806;Wijk 06 Van Stolkpark en Scheveningse Bo;62,8;31,3;37,4
;WK051807;Wijk 07 Scheveningen;30,6;48,2;18,4
;WK051808;Wijk 08 Duindorp;24,2;49,3;12,4
;WK051809;Wijk 09 Geuzen- en Statenkwartier;41,5;34,5;32,1
;WK051810;Wijk 10 Zorgvliet;54,2;19,0;52,2
;WK051811;Wijk 11 Duinoord;42,7;37,7;28,2
;WK051812;Wijk 12 Bomen- en Bloemenbuurt;32,2;33,7;21,8
;WK051813;Wijk 13 Vogelwijk;45,7;11,8;57,7
;WK051814;Wijk 14 Bohemen en Meer en Bos;35,0;42,4;17,0
;WK051815;Wijk 15 Kijkduin en Ockenburgh;42,2;27,8;37,5
;WK051816;Wijk 16 Kraayenstein en Vroondaal;34,6;28,8;31,1
;WK051817;Wijk 17 Loosduinen;25,7;43,4;15,5
;WK051818;Wijk 18 Waldeck;26,5;50,3;9,8
;WK051819;Wijk 19 Vruchtenbuurt;33,0;26,3;27,9
;WK051820;Wijk 20 Valkenboskwartier;26,7;50,8;12,7
;WK051821;Wijk 21 Regentessekwartier;30,1;52,0;15,7
;WK051822;Wijk 22 Zeeheldenkwartier;33,5;53,9;16,8
;WK051823;Wijk 23 Willemspark;54,2;41,0;26,5
;WK051824;Wijk 24 Haagse Bos;41,1;42,8;15,5
;WK051825;Wijk 25 Mariahoeve en Marlot;27,7;55,7;11,2
;WK051826;Wijk 26 Bezuidenhout;35,2;42,6;20,4
;WK051827;Wijk 27 Stationsbuurt;23,2;71,2;8,5
;WK051828;Wijk 28 Centrum;31,5;58,2;12,9
;WK051829;Wijk 29 Schildersbuurt;16,2;63,7;8,7
;WK051830;Wijk 30 Transvaalkwartier;17,3;60,5;9,1
;WK051831;Wijk 31 Rustenburg en Oostbroek;21,4;49,4;8,0
;WK051832;Wijk 32 Leyenburg;25,7;45,2;10,5
;WK051833;Wijk 33 Bouwlust en Vrederust;19,6;61,5;8,9
;WK051834;Wijk 34 Morgenstond;21,1;61,3;8,1
;WK051835;Wijk 35 Zuiderpark;22,8;81,7;1,6
;WK051836;Wijk 36 Moerwijk;18,2;68,9;5,6
;WK051837;Wijk 37 Groente- en Fruitmarkt;18,6;51,6;13,4
;WK051838;Wijk 38 Laakkwartier en Spoorwijk;19,6;60,6;6,7
;WK051839;Wijk 39 Binckhorst;37,4;45,9;13,9
;WK051840;Wijk 40 Wateringse Veld;29,5;25,5;35,8
;WK051841;Wijk 41 Hoornwijk;27,9;64,8;16,7
;WK051842;Wijk 42 Ypenburg;31,0;25,8;37,2
;WK051843;Wijk 43 Forepark;45,3;.;.
;WK051844;Wijk 44 Leidschenveen;30,8;19,7;41,2
GM0523;Totaal;Hardinxveld-Giessendam;25,5;31,7;24,0
;WK052301;Neder Hardinxveld;25,4;29,8;23,6
;WK052302;De Peulen;24,8;44,7;15,9
;WK052303;Boven Hardinxveld;25,2;32,5;23,5
;WK052304;Giessendam;26,0;24,3;30,1
GM0531;Totaal;Hendrik-Ido-Ambacht;28,8;26,4;29,1
;WK053101;Wijk 01 Centrum;25,7;33,3;21,3
;WK053102;Wijk 02 Krommeweg;29,1;25,7;26,8
;WK053103;Wijk 03 De Volgerlanden;31,3;19,4;38,9
;WK053104;Wijk 04 Sandelingen-Ambacht;41,6;.;.
;WK053105;Wijk 05 De Oevers;31,9;.;.
GM0532;Totaal;Stede Broec;25,6;33,6;19,3
;WK053201;Stede Broec Buitengebied;35,2;.;.
;WK053202;Stede Broec Noord;27,4;29,7;25,2
;WK053203;Stede Broec Zuid;23,4;37,7;12,9
GM0534;Totaal;Hillegom;28,8;33,5;21,8
;WK053401;Hillegom Midden;26,0;44,3;13,2
;WK053402;Hillegom Noord;29,2;29,9;26,5
;WK053403;Hillegom Zuid;28,4;29,9;23,1
;WK053404;Hillegom West;33,1;25,2;27,9
;WK053405;Buitengebied;31,5;28,5;30,3
GM0537;Totaal;Katwijk;26,6;32,1;24,0
;WK053701;Katwijk Noord;24,8;36,0;18,2
;WK053702;'t Heen;.;.;.
;WK053703;Katwijk aan den Rijn;26,2;35,5;24,2
;WK053705;Katwijk aan Zee;26,1;33,8;22,9
;WK053706;Landelijk gebied Katwijk;.;.;.
;WK053707;Rijnsburg;28,2;28,4;27,3
;WK053708;Valkenburg;28,6;21,8;31,3
GM0542;Totaal;Krimpen aan den IJssel;27,2;34,8;21,8
;WK054200;Wijk 00 Krimpen aan den IJssel;27,2;34,8;21,8
GM0546;Totaal;Leiden;29,5;51,2;17,3
;WK054600;Binnenstad-Zuid;30,2;67,7;10,3
;WK054601;Binnenstad-Noord;28,5;64,7;9,9
;WK054602;Stationsdistrict;35,0;49,0;16,1
;WK054603;Leiden-Noord;26,0;54,6;13,5
;WK054604;Roodenburgerdistrict;33,7;41,6;26,4
;WK054605;Bos- en Gasthuisdistrict;27,0;54,9;13,5
;WK054606;Morsdistrict;28,7;52,2;14,4
;WK054607;Boerhaavedistrict;35,8;54,0;23,3
;WK054608;Merenwijkdistrict;29,3;32,3;25,6
;WK054609;Stevenshofdistrict;28,5;33,5;24,6
GM0547;Totaal;Leiderdorp;31,2;31,4;26,6
;WK054700;Wijk 00;30,4;34,9;22,7
;WK054701;Wijk 01;33,9;21,6;35,2
;WK054702;Wijk 02;31,5;28,1;31,3
GM0553;Totaal;Lisse;28,9;34,4;23,0
;WK055301;Lisse Noord;28,3;34,8;20,2
;WK055302;Centrum;30,7;37,8;22,7
;WK055303;Lisse Zuid;27,8;31,4;25,1
;WK055304;Buitengebied;29,6;31,5;26,3
GM0556;Totaal;Maassluis;26,9;38,1;18,5
;WK055601;Wijk 01 Taanschuurpolder;27,1;33,3;17,0
;WK055602;Wijk 02 Dijkpolder;24,3;47,8;15,0
;WK055603;Sluispolder;25,8;48,3;13,5
;WK055604;Wijk 04 Kapelpolder;26,4;43,2;18,2
;WK055605;Wijk 05 Burgemeesterswijk;27,0;30,9;18,9
;WK055606;Wijk 06 Steendijkpolder;30,0;17,9;27,0
;WK055607;Wijk 07 Aalkeetpolder;39,5;.;.
;WK055608;Wijk 08 Wilgenrijk;39,6;11,4;65,1
GM0569;Totaal;Nieuwkoop;29,3;28,0;27,8
;WK056900;Wijk 00;29,7;27,2;28,2
;WK056901;Wijk 01 Nieuwveen;28,5;27,4;27,8
;WK056902;Wijk 02 Zevenhoven;29,9;28,2;27,6
;WK056903;Wijk 03 Ter Aar;29,0;28,9;27,5
GM0575;Totaal;Noordwijk;30,8;35,0;24,6
;WK057500;Noordwijk Zee;35,7;38,2;25,2
;WK057501;Noordwijk Binnen;30,3;34,0;24,0
;WK057502;Noordwijk Buitengebied;35,1;30,4;38,7
;WK057503;Noordwijkerhout;28,2;35,6;21,8
;WK057504;Noordwijkerhout Buitengebied;33,4;36,2;34,2
;WK057505;De Zilk;27,4;27,4;25,5
GM0579;Totaal;Oegstgeest;38,5;25,8;36,2
;WK057901;Oud Oegstgeest;48,8;16,1;54,8
;WK057902;Oudenhof;34,6;34,2;23,3
;WK057903;De Kwaak;44,3;14,0;49,2
;WK057904;Oegstgeest Noord;34,2;27,5;32,9
;WK057905;Oegstgeest West;36,1;23,2;41,2
GM0589;Totaal;Oudewater;29,2;29,3;29,0
;WK058901;Hekendorp;30,1;21,6;40,9
;WK058902;Oudewater;28,7;31,3;25,9
;WK058903;Papekop;28,6;21,4;44,3
;WK058904;Snelrewaard;34,0;15,0;49,0
GM0590;Totaal;Papendrecht;27,9;32,9;21,6
;WK059001;Westpolder;26,6;36,0;16,6
;WK059002;Molenvliet;27,7;26,1;26,4
;WK059003;Kraaihoek;24,5;47,7;11,7
;WK059004;Middenpolder;29,5;27,6;18,7
;WK059005;Wilgendonk;29,7;25,3;29,6
;WK059006;De Kooy-Oosteind;29,1;23,2;20,6
;WK059007;Oostpolder;31,9;22,4;39,7
;WK059008;Vriesenpolder;.;.;.
;WK059009;De Noordoever;.;.;.
GM0597;Totaal;Ridderkerk;26,8;38,6;18,6
;WK059701;Centrum;24,9;48,1;10,7
;WK059702;West;24,1;51,0;10,5
;WK059703;Oost;24,3;42,5;14,6
;WK059704;Drievliet;26,9;36,0;20,0
;WK059705;Het Zand;31,6;18,0;34,6
;WK059706;Slikkerveer;27,5;33,1;20,5
;WK059707;Bolnes;26,0;44,5;15,5
;WK059708;Rijsoord;32,2;26,5;33,7
;WK059709;Oostendam;29,1;25,8;31,7
;WK059710;Donkersloot;30,5;.;.
;WK059711;Verenambacht;.;.;.
;WK059712;Cornelisland;.;.;.
GM0599;Totaal;Rotterdam;26,1;52,6;14,1
;WK059901;Rotterdam Centrum;35,1;50,4;16,1
;WK059903;Delfshaven;22,8;59,0;10,6
;WK059904;Overschie;27,7;44,2;21,5
;WK059905;Noord;28,3;53,5;13,2
;WK059906;Hillegersberg-Schiebroek;33,9;40,5;27,6
;WK059908;Kralingen-Crooswijk;28,2;58,0;13,6
;WK059910;Feijenoord;22,0;59,5;10,3
;WK059912;IJsselmonde;22,5;52,2;10,5
;WK059913;Pernis;27,2;34,2;18,5
;WK059914;Prins Alexander;28,2;46,4;18,7
;WK059915;Charlois;20,8;61,2;7,1
;WK059916;Hoogvliet;25,1;44,3;14,0
;WK059917;Hoek van Holland;28,6;39,8;21,1
;WK059918;Spaanse Polder;.;.;.
;WK059919;Nieuw Mathenesse;31,0;65,8;3,3
;WK059921;Waalhaven-Eemhaven;.;.;.
;WK059922;Vondelingenplaat;.;.;.
;WK059923;Botlek-Europoort-Maasvlakte;.;.;.
;WK059924;Rotterdam-Noord-West;.;.;.
;WK059925;Rivium;.;.;.
;WK059927;Rozenburg;27,0;37,5;17,2
GM0603;Totaal;Rijswijk;29,6;41,6;19,0
;WK060301;Wijk 01;39,6;20,6;37,6
;WK060302;Wijk 02;30,5;43,1;17,3
;WK060303;Wijk 03;39,8;29,1;41,8
;WK060304;Wijk 04;27,8;48,2;10,9
;WK060305;Wijk 05;30,7;41,9;13,7
;WK060306;Wijk 06;27,3;52,5;7,9
;WK060307;Wijk 07;23,5;54,5;8,6
;WK060308;Wijk 08;30,5;40,3;22,5
;WK060309;Wijk 09;24,8;45,9;14,0
;WK060310;Wijk 10;32,7;9,1;51,8
;WK060311;Wijk 11;33,1;31,1;31,1
GM0606;Totaal;Schiedam;25,8;45,6;15,3
;WK060600;Wijk 00 Centrum;31,7;44,2;16,3
;WK060601;Wijk 01 Oost;22,9;53,8;8,4
;WK060602;Wijk 02 Schiedamse Havens;.;.;.
;WK060603;Wijk 03 West;27,9;42,0;18,0
;WK060604;Wijk 04 Zuid;23,8;49,7;9,6
;WK060605;Wijk 05 Kethel;30,7;26,7;28,3
;WK060606;Wijk 06 Nieuwland;21,1;56,5;10,1
;WK060607;Wijk 07 Groenoord;21,3;57,1;6,6
;WK060608;Wijk 08 Industrie;.;.;.
;WK060609;Wijk 09 Woudhoek;27,8;35,6;18,7
;WK060610;Wijk 10 Spaland en Sveaparken;33,5;15,4;40,2
;WK060611;Wijk 11 Polderbuitengebied;32,5;29,5;35,3
GM0610;Totaal;Sliedrecht;25,4;37,2;19,1
;WK061001;Wijk 01 Sliedrecht-West;26,6;20,9;26,4
;WK061002;Wijk 02 Sliedrecht-Centrum;24,7;42,0;14,9
;WK061003;Wijk 03 Sliedrecht-Oost;25,3;41,2;19,8
;WK061004;Wijk 04 Sliedrecht-Noord;25,2;.;.
GM0613;Totaal;Albrandswaard;33,0;27,1;33,7
;WK061301;Wijk 01 Poortugaal-Noord;36,7;17,3;43,6
;WK061302;Wijk 02 Rhoon-Noord;33,8;29,4;24,6
;WK061303;Wijk 03 Poortugaal-Zuid;31,2;33,6;28,4
;WK061304;Wijk 04 Rhoon-Zuid;33,9;29,4;29,3
;WK061305;Wijk 05 Buitengebied Albrandswaard;38,9;22,0;48,0
;WK061306;Wijk 06 Portland;32,0;20,9;42,7
;WK061307;Wijk 07 Rotterdam-Albrandswaard;.;.;.
GM0622;Totaal;Vlaardingen;26,2;44,9;15,5
;WK062201;Centrum;24,9;47,2;10,6
;WK062202;Westwijk;22,8;50,9;10,6
;WK062203;Vettenoordse Polder;25,9;64,1;8,3
;WK062204;Oostwijk;29,9;38,7;21,9
;WK062205;Vlaardinger Ambacht;26,7;35,4;22,0
;WK062206;Holy Zuid;25,9;53,4;12,8
;WK062207;Holy Noord;28,6;38,6;20,2
;WK062208;Broekpolder;.;.;.
GM0626;Totaal;Voorschoten;34,0;29,1;31,1
;WK062600;Wijk 00;34,0;29,1;31,1
GM0627;Totaal;Waddinxveen;27,9;30,4;24,4
;WK062701;Wijk 01;25,2;40,1;17,8
;WK062702;Wijk 02;30,8;19,7;33,8
;WK062703;Wijk 03;24,6;37,2;16,2
;WK062704;Wijk 04;29,3;27,6;26,3
GM0629;Totaal;Wassenaar;45,3;32,4;35,3
;WK062900;Wijk 00 Zuidwestelijk deel der gemeente;71,2;21,4;55,6
;WK062901;Wijk 01 Noordoostelijk deel der gemeente;36,3;35,8;28,7
GM0632;Totaal;Woerden;30,4;29,7;28,7
;WK063201;Wijk 01 Woerden-Midden;28,9;37,1;21,5
;WK063202;Wijk 02 Woerden-West;29,1;31,2;26,6
;WK063203;Wijk 03 Woerden-Oost;34,5;15,7;43,5
;WK063204;Wijk 04 Buitengebied Woerden-West;35,0;27,2;37,3
;WK063205;Wijk 05 Buitengebied Woerden-Oost;35,0;11,0;50,3
;WK063206;Wijk 06 Harmelen;30,6;26,6;30,9
;WK063207;Wijk 07 Kamerik;29,4;26,8;31,5
;WK063208;Wijk 08 Zegveld;28,8;25,6;31,3
GM0637;Totaal;Zoetermeer;28,5;34,8;21,3
;WK063700;Centrum;27,3;47,7;11,2
;WK063701;Meerzicht;24,2;45,7;12,4
;WK063702;Buytenwegh de Leyens;27,6;36,2;18,8
;WK063703;Seghwaert;27,4;33,3;17,8
;WK063704;Noordhove;31,8;26,7;29,5
;WK063705;Rokkeveen;31,8;24,5;30,4
;WK063706;Oosterheem;29,6;23,0;34,4
;WK063708;Industriegebied;31,4;24,9;27,0
;WK063709;Buitengebied;40,3;14,5;49,3
GM0638;Totaal;Zoeterwoude;30,6;26,3;30,3
;WK063800;Zoeterwoude-Dorp;30,3;28,6;27,4
;WK063801;Westeinde;35,3;.;.
;WK063802;Zuidbuurt;32,4;22,2;33,3
;WK063803;Weipoort;35,5;17,2;46,2
;WK063804;Gelderswoude;.;.;.
;WK063809;Verspreide huizen;.;.;.
;WK063810;Zoeterwoude-Rijndijk;30,2;25,0;31,6
GM0642;Totaal;Zwijndrecht;26,5;39,1;17,9
;WK064201;Wijk 01 Walburg;26,6;46,8;16,8
;WK064202;Wijk 02 Centrum;27,6;38,8;16,6
;WK064203;Wijk 03 Noord;23,5;43,0;13,6
;WK064204;Wijk 04 Heer Oudelands Ambacht;30,8;18,7;29,8
;WK064205;Wijk 05 Kort Ambacht;23,5;43,0;10,7
;WK064206;Wijk 06 Nederhoven;26,0;40,9;17,8
;WK064207;Wijk 07 Verspreide bebouwing;31,8;.;.
;WK064208;Wijk 08 Bebouwde kom Heerjansdam;29,2;33,9;23,8
;WK064209;Wijk 09 Landelijk gebied Heerjansdam;33,0;22,5;47,7
GM0654;Totaal;Borsele;26,8;30,7;22,6
;WK065401;Baarland;26,8;31,6;23,3
;WK065402;Borssele;22,6;33,3;22,4
;WK065403;Driewegen;29,2;21,9;27,3
;WK065404;Ellewoutsdijk;27,4;30,9;13,8
;WK065405;Heinkenszand;28,7;29,6;23,2
;WK065406;Hoedekenskerke;26,0;27,0;24,6
;WK065407;Kwadendamme;29,2;36,6;22,9
;WK065408;Lewedorp;27,1;30,6;22,2
;WK065409;Nieuwdorp;26,2;29,0;22,3
;WK065410;Nisse;31,4;22,9;29,5
;WK065411;Oudelande;28,8;28,1;25,8
;WK065412;Ovezande;27,9;37,5;19,6
;WK065413;'s-Gravenpolder;23,7;30,1;22,5
;WK065414;'s-Heer Abtskerke;30,2;21,9;31,6
;WK065415;'s-Heerenhoek;26,2;36,5;18,3
GM0664;Totaal;Goes;27,4;39,8;17,9
;WK066401;Wijk 01 Goes;26,8;43,9;15,2
;WK066402;Wijk 02 Wilhelminadorp;28,5;27,1;30,2
;WK066403;Wijk 03 Kloetinge;30,6;23,2;29,2
;WK066404;Wijk 04 Kattendijke;31,0;23,5;27,4
;WK066405;Wijk 05 's-Heer-Arendskerke;28,7;28,7;24,5
;WK066406;Wijk 06 Eindewege;26,5;.;.
;WK066407;Wijk 07 's-Heer-Hendrikskinderen;29,7;21,2;29,2
;WK066408;Wijk 08 Wolphaartsdijk;26,5;36,2;20,1
;WK066409;Wijk 09 Oud-Sabbinge;29,5;28,8;29,7
GM0668;Totaal;West Maas en Waal;27,6;33,5;23,4
;WK066801;Wijk 01 Alphen;28,7;32,0;24,7
;WK066802;Wijk 02 Altforst;28,0;20,8;32,5
;WK066803;Wijk 03 Appeltern;30,5;27,5;29,4
;WK066804;Wijk 04 Beneden-Leeuwen;26,7;37,2;19,7
;WK066805;Wijk 05 Boven-Leeuwen;27,3;29,3;24,3
;WK066806;Wijk 06 Dreumel;27,7;32,6;24,2
;WK066807;Wijk 07 Maasbommel;27,8;34,9;26,5
;WK066808;Wijk 08 Wamel;28,1;32,7;25,7
GM0677;Totaal;Hulst;27,7;36,9;19,2
;WK067701;Hulst;28,2;39,4;18,3
;WK067702;Sint Jansteen;28,5;33,6;20,1
;WK067703;Clinge;26,1;39,1;16,4
